Date,Type,Link
2023-01-11 17:56:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7018995969002221568
2023-01-09 09:22:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018142577988153345?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7018142577988153345%2C7018144419224653824%29
2023-01-07 13:48:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016831448364019712?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7016831448364019712%2C7017486976605937664%29
2023-01-07 13:45:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016831448364019712?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7016831448364019712%2C7017486305672466432%29
2023-01-07 13:42:38,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016831448364019712?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7016831448364019712%2C7017485233650380800%29
2023-01-07 13:37:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016831448364019712
2023-01-07 11:41:54,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7017426369382866944
2023-01-05 07:36:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016627808017817600
2023-01-03 21:49:44,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015975905625825280
2023-01-03 15:21:29,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016053029682491393
2023-01-02 23:11:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7015668446294159361
2023-01-02 20:08:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7015767128104468480
2023-01-01 19:31:46,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7015377340880875520
2022-12-31 21:10:30,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014953694085431296
2022-12-30 22:54:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014598894198120448
2022-12-30 12:50:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014571567573598208
2022-12-30 01:19:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7014243623437258753
2022-12-29 01:02:03,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013239206810411008?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7013239206810411008%2C7013402679905292288%29
2022-12-28 22:52:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013988165703073792
2022-12-25 22:39:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012885713356476416
2022-12-25 12:19:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012739970180214784
2022-12-22 08:07:55,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7011581910858502144
2022-12-18 16:51:57,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7010283474645323776
2022-12-16 22:58:09,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7009637362708164608?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7009637362708164608%2C7009652703265976320%29
2022-12-16 22:49:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7009637362708164608?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7009637362708164608%2C7009649236975742976%29
2022-12-16 14:08:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7009494763003334656?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7009494763003334656%2C7009518137633054720%29
2022-12-16 13:45:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7009494763003334656?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7009494763003334656%2C7009513717885202432%29
2022-12-16 13:43:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7009482644539281409
2022-12-16 13:37:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7009494763003334656
2022-12-16 10:47:06,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008113062037610496
2022-12-15 21:46:38,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7009154041872064512
2022-12-13 23:44:36,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006998264310841345
2022-12-13 23:43:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7008131063835201537
